"","CB62_E8","CB62_L4i","E32C1_E8","E32C1_L4i","E32C4_E8","E32C4_L4i","E32C6_E8","E32C6_L4i","E5C3_E8","E5C3_L4i","H9_E8","H9_L4i","RUES01_E8","RUES01_L4i","RUES02_E8","RUES02_L4i"
"ENSG00000287631",0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0
"ENSG00000241357",1,0,0,0,1,2,0,2,0,0,0,0,0,1,3,0
"PPP1R35",2795,992,2909,2083,4425,2047,1330,1963,1139,772,3251,1088,1394,1153,7123,2926
"ENSG00000240211",0,0,1,2,3,6,1,5,0,0,4,0,0,0,11,3
"SPACDR",18,1,17,11,11,6,1,8,0,6,21,6,13,0,20,14
"ENSG00000286938",27,12,37,7,40,10,1,19,14,12,33,1,5,12,45,10
"ZNF3",4815,3400,10501,7587,14015,9787,3661,5506,2625,3939,9157,2976,3786,3790,16074,13514
"RNU6-393P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR3609",0,0,2,0,1,0,1,0,0,0,0,1,0,0,2,1
"ENSG00000286305",1,4,2,4,13,11,0,7,0,0,7,8,8,1,18,10
"RNF14P3",4,0,8,6,3,4,1,0,2,2,21,2,4,2,2,6
"ENSG00000284840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP51A1-AS1",18,9,30,16,30,25,16,27,12,10,21,4,10,5,52,35
"ENSG00000243107",1,0,6,4,1,4,2,6,2,1,4,0,0,0,9,3
"ENSG00000200769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR1285-1",0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0
"ENSG00000230101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000286458",12,1,6,0,22,2,10,2,5,4,9,0,8,2,7,3
"ENSG00000235427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK6",7993,3794,10301,6984,12680,8347,2675,4255,3931,5032,10215,3373,3156,3191,14944,10295
"SPMIP7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"KIAA1549",4456,2001,8034,4567,10743,4717,2840,3251,2964,2679,7729,2184,2087,2444,12818,7631
"GPNMB",116,89,308,386,842,619,246,466,54,272,191,170,105,140,240,375
"SLC25A13",13886,11178,29950,24498,39000,29341,9952,15745,6168,12205,24948,7302,7627,11508,38680,35042
"TAS2R4",10,0,87,22,53,47,18,38,14,10,101,7,24,5,83,50
"CCM2",5032,2165,8884,8256,12603,8153,3409,5529,2086,3341,8433,2489,2943,4212,14050,11631
"CRYGN",50,24,127,38,176,52,64,48,27,6,130,6,63,26,246,41
"ZNF92",3154,2506,6316,5775,8527,5854,2286,3481,1808,2270,5377,2455,2036,2275,9898,7126
