"","PARPKO_r1","PARPKO_r2","PARPKO_r3","WT_r1","WT_r2","WT_r3"
"ENSMUSG00000100562",0,0,0,0,0,1
"Gulp1",261,241,501,216,191,474
"ENSMUSG00000102319",0,1,0,4,2,6
"ENSMUSG00000089877",1,1,0,0,0,0
"4930521E06Rik",0,3,0,1,0,0
"ENSMUSG00000103071",1,1,0,0,0,0
"Gm3489",0,0,0,0,0,0
"Gm19480",0,0,0,0,0,0
"Gm3496",0,0,0,0,0,0
"Gm5268",0,2,0,0,0,3
"ENSMUSG00002075531",0,0,0,0,0,0
"Gm24919",0,0,0,0,0,0
"Efcab2",105,79,230,131,120,236
"Acsl3",2733,2558,6609,3626,3337,7359
"Ncf2",78,53,141,126,129,232
"Kif26b",14,13,29,15,23,59
"Gm24405",0,0,0,0,0,0
"ENSMUSG00000102922",0,0,0,0,0,0
"Sgk3",576,522,1305,515,471,1201
"Utp14b",316,325,1013,514,508,831
"Gm6159",8,2,18,3,3,6
"Gm29536",0,0,0,0,0,0
"Kcne4",0,1,0,0,0,0
"ENSMUSG00000101324",0,0,0,0,0,0
"ENSMUSG00000072978",0,0,0,0,0,0
"Gm6195",4,4,6,22,15,17
"ENSMUSG00002075801",0,0,0,0,0,0
"Scg2",0,3,0,0,0,0
"Gm19027",1,0,1,2,1,0
"Gm24160",0,0,0,0,0,0
"Smyd3",858,797,1446,1179,1222,1687
"Ap1s3",214,202,472,94,93,136
"ENSMUSG00000096474",0,1,2,2,1,3
"ENSMUSG00000102235",0,1,0,1,0,1
"Tfb2m",122,123,256,190,198,194
"ENSMUSG00000082395",3,2,11,7,4,2
"Cnst",530,503,1120,692,639,1275
"Col3a1",35,25,116,12,14,64
"Mcmdc2",28,30,43,38,35,60
"ENSMUSG00002074901",0,0,0,0,0,0
"Snord87",0,0,0,0,0,0
"Tcf24",170,219,317,174,192,401
"ENSMUSG00000104025",0,0,0,0,0,0
"Sccpdh",685,613,970,1433,1318,2050
"Smg7",5451,5187,13700,7517,7303,12803
"ENSMUSG00000100394",2,1,3,5,8,4
"ENSMUSG00000103840",0,0,0,0,0,0
"Kif28",13,12,16,9,9,11
"ENSMUSG00000100702",8,3,5,4,2,3
"Col5a2",205,194,556,135,89,328
"ENSMUSG00000104476",2,1,0,0,0,1
"Wdfy1",1737,1648,3290,1850,1818,2992
"ENSMUSG00000104497",0,0,0,0,0,0
"Ppp1r42",1,0,0,0,0,0
"ENSMUSG00000087199",0,0,0,0,0,0
"Mrpl44",832,828,1281,1211,1155,1431
"Gm24674",0,0,0,0,0,0
"Serpine2",1171,1106,1256,552,529,950
"Nmnat2",740,671,1709,744,700,1862
"ENSMUSG00000067106",1,2,8,3,1,5
"ENSMUSG00000099969",0,0,0,0,0,4
"Gm28071",0,0,1,1,1,1
"ENSMUSG00000099753",0,0,0,0,0,0
"Gm23934",0,0,0,0,0,0
"ENSMUSG00000102518",0,0,0,0,0,0
"Fam124b",1,0,0,0,1,1
"ENSMUSG00000103404",0,0,0,0,0,1
"Ahctf1",6916,6395,16685,10584,9945,17494
"Cops5",2571,2422,5483,3227,3029,6838
"ENSMUSG00000104418",2,2,6,1,2,9
