"","PARPKO_r1","PARPKO_r2","PARPKO_r3","WT_r1","WT_r2","WT_r3"
"ENSMUSG00000102493",0,0,0,0,0,1
"ENSMUSG00000041684",618,528,1376,691,741,1228
"ENSMUSG00000026048",1914,1809,3417,1170,1040,2844
"ENSMUSG00000046828",2,0,12,0,1,3
"ENSMUSG00000089703",0,2,0,1,0,0
"ENSMUSG00000100966",0,0,0,0,0,0
"ENSMUSG00000101567",1,1,1,1,3,7
"ENSMUSG00000026245",5091,4857,10554,8904,8468,14850
"ENSMUSG00000104018",2,3,10,9,5,14
"ENSMUSG00000090486",9,8,29,10,8,14
"ENSMUSG00000026482",88,105,243,57,61,113
"ENSMUSG00000086145",0,1,0,0,0,0
"ENSMUSG00000080950",4,5,2,3,1,2
"ENSMUSG00000099868",0,0,0,0,0,0
"ENSMUSG00000055547",0,0,0,0,0,0
"ENSMUSG00000012187",1,3,12,0,0,1
"ENSMUSG00000008475",1467,1352,3474,1573,1594,2469
"ENSMUSG00000100562",0,0,0,0,0,1
"ENSMUSG00000056870",261,241,501,216,191,474
"ENSMUSG00000102319",0,1,0,4,2,6
"ENSMUSG00000089877",1,1,0,0,0,0
"ENSMUSG00000101701",0,3,0,1,0,0
"ENSMUSG00000103071",1,1,0,0,0,0
"ENSMUSG00000100434",0,0,0,0,0,0
"ENSMUSG00000100013",0,0,0,0,0,0
"ENSMUSG00000101251",0,0,0,0,0,0
"ENSMUSG00000101937",0,2,0,0,0,3
"ENSMUSG00002075531",0,0,0,0,0,0
"ENSMUSG00000064954",0,0,0,0,0,0
"ENSMUSG00000026495",105,79,230,131,120,236
"ENSMUSG00000032883",2733,2558,6609,3626,3337,7359
"ENSMUSG00000026480",78,53,141,126,129,232
"ENSMUSG00000026494",14,13,29,15,23,59
"ENSMUSG00000064967",0,0,0,0,0,0
"ENSMUSG00000102922",0,0,0,0,0,0
"ENSMUSG00000025915",576,522,1305,515,471,1201
"ENSMUSG00000079470",316,325,1013,514,508,831
"ENSMUSG00000099377",8,2,18,3,3,6
"ENSMUSG00000099706",0,0,0,0,0,0
"ENSMUSG00000047330",0,1,0,0,0,0
"ENSMUSG00000101324",0,0,0,0,0,0
"ENSMUSG00000072978",0,0,0,0,0,0
"ENSMUSG00000046334",4,4,6,22,15,17
"ENSMUSG00002075801",0,0,0,0,0,0
"ENSMUSG00000050711",0,3,0,0,0,0
"ENSMUSG00000099562",1,0,1,2,1,0
"ENSMUSG00000077782",0,0,0,0,0,0
"ENSMUSG00000055067",858,797,1446,1179,1222,1687
"ENSMUSG00000054702",214,202,472,94,93,136
"ENSMUSG00000096474",0,1,2,2,1,3
"ENSMUSG00000102235",0,1,0,1,0,1
"ENSMUSG00000026492",122,123,256,190,198,194
"ENSMUSG00000082395",3,2,11,7,4,2
"ENSMUSG00000038949",530,503,1120,692,639,1275
"ENSMUSG00000026043",35,25,116,12,14,64
"ENSMUSG00000046101",28,30,43,38,35,60
"ENSMUSG00002074901",0,0,0,0,0,0
"ENSMUSG00000093178",0,0,0,0,0,0
"ENSMUSG00000099032",170,219,317,174,192,401
"ENSMUSG00000104025",0,0,0,0,0,0
"ENSMUSG00000038936",685,613,970,1433,1318,2050
"ENSMUSG00000042772",5451,5187,13700,7517,7303,12803
"ENSMUSG00000100394",2,1,3,5,8,4
"ENSMUSG00000103840",0,0,0,0,0,0
"ENSMUSG00000087236",13,12,16,9,9,11
"ENSMUSG00000100702",8,3,5,4,2,3
"ENSMUSG00000026042",205,194,556,135,89,328
"ENSMUSG00000104476",2,1,0,0,0,1
"ENSMUSG00000073643",1737,1648,3290,1850,1818,2992
"ENSMUSG00000104497",0,0,0,0,0,0
"ENSMUSG00000025916",1,0,0,0,0,0
"ENSMUSG00000087199",0,0,0,0,0,0
"ENSMUSG00000026248",832,828,1281,1211,1155,1431
"ENSMUSG00000119658",0,0,0,0,0,0
"ENSMUSG00000026249",1171,1106,1256,552,529,950
"ENSMUSG00000042751",740,671,1709,744,700,1862
"ENSMUSG00000067106",1,2,8,3,1,5
"ENSMUSG00000099969",0,0,0,0,0,4
"ENSMUSG00000100397",0,0,1,1,1,1
"ENSMUSG00000099753",0,0,0,0,0,0
"ENSMUSG00000118883",0,0,0,0,0,0
"ENSMUSG00000102518",0,0,0,0,0,0
"ENSMUSG00000043230",1,0,0,0,1,1
"ENSMUSG00000103404",0,0,0,0,0,1
"ENSMUSG00000026491",6916,6395,16685,10584,9945,17494
"ENSMUSG00000025917",2571,2422,5483,3227,3029,6838
"ENSMUSG00000104418",2,2,6,1,2,9
"ENSMUSG00000026479",474,502,1334,308,286,654
"ENSMUSG00000004364",4655,4574,10961,6588,6207,10555
"ENSMUSG00000103076",11,11,34,12,11,26
"ENSMUSG00000103525",1,1,4,4,5,3
"ENSMUSG00000090637",0,0,0,0,0,0
"ENSMUSG00000026478",10705,10696,26068,16395,15505,28146
"ENSMUSG00000110100",0,0,0,0,0,0
"ENSMUSG00000103818",3,3,0,4,5,3
"ENSMUSG00000079138",1,3,0,0,0,5
"ENSMUSG00000042708",61,78,213,83,88,145
"ENSMUSG00000064435",2,0,1,4,4,0
"ENSMUSG00000103543",8,14,44,11,10,45
"ENSMUSG00000041144",2,1,4,7,1,17
"ENSMUSG00000119743",0,0,0,0,0,0
"ENSMUSG00000042699",12662,11996,30307,17610,16482,26343
"ENSMUSG00000101262",9,10,59,11,9,46
"ENSMUSG00000042684",660,624,1239,1148,1097,1569
"ENSMUSG00000099858",7,13,27,13,10,14
"ENSMUSG00000101337",16,12,47,35,17,17
"ENSMUSG00000025986",2773,2635,6161,3201,2969,5536
"ENSMUSG00000100213",29,35,12,19,10,16
"ENSMUSG00000103129",0,0,0,0,0,0
"ENSMUSG00000100160",2,2,0,3,1,1
"ENSMUSG00000101921",0,0,0,0,0,0
"ENSMUSG00000101447",0,1,0,0,2,0
"ENSMUSG00000081185",0,0,0,2,0,5
"ENSMUSG00000103246",0,0,0,0,0,0
"ENSMUSG00000098876",0,0,0,0,0,0
"ENSMUSG00000100530",0,0,0,0,0,0
"ENSMUSG00000104067",0,0,0,0,0,0
"ENSMUSG00000100033",6,12,13,15,15,17
"ENSMUSG00002075213",0,0,0,0,0,0
"ENSMUSG00002076633",0,0,0,0,0,0
"ENSMUSG00000101996",0,0,0,0,0,1
"ENSMUSG00000096973",6,7,17,5,12,23
"ENSMUSG00000064943",0,0,0,0,0,0
"ENSMUSG00000100866",0,0,0,0,0,0
"ENSMUSG00000101721",0,0,0,0,0,1
"ENSMUSG00000099376",0,0,3,0,0,0
"ENSMUSG00000097883",6,8,23,18,13,32
"ENSMUSG00002076043",0,0,0,0,0,0
"ENSMUSG00000099698",0,0,0,0,0,0
"ENSMUSG00000056763",1576,1501,4493,1763,1675,3388
"ENSMUSG00000099454",0,0,0,0,0,0
"ENSMUSG00000051616",0,0,0,0,0,0
"ENSMUSG00000099627",0,0,0,1,0,1
"ENSMUSG00000099577",0,0,0,0,0,0
"ENSMUSG00000099882",0,0,0,0,0,0
"ENSMUSG00000101760",0,0,0,0,0,0
"ENSMUSG00000102356",0,0,0,0,0,0
"ENSMUSG00000099864",0,0,0,0,0,0
"ENSMUSG00002075839",0,0,0,0,0,0
"ENSMUSG00000100451",0,0,0,0,0,0
"ENSMUSG00000099941",0,0,0,0,0,0
"ENSMUSG00002075589",0,0,0,0,0,0
"ENSMUSG00000100816",0,1,0,2,9,4
"ENSMUSG00000042671",10,2,19,2,0,4
"ENSMUSG00000100945",0,0,0,0,0,0
"ENSMUSG00000102404",0,0,0,0,0,0
"ENSMUSG00000026109",33,38,34,14,18,35
"ENSMUSG00000026475",234,211,320,140,145,260
"ENSMUSG00000100671",0,0,0,0,0,1
"ENSMUSG00002075527",0,0,0,0,0,0
"ENSMUSG00000101242",0,0,0,0,0,0
"ENSMUSG00000099924",0,1,0,0,0,0
"ENSMUSG00000099625",0,1,1,1,0,2
"ENSMUSG00000045954",40,27,83,25,21,92
"ENSMUSG00000099741",0,0,0,0,0,0
"ENSMUSG00000066800",20,16,11,11,5,37
"ENSMUSG00000067851",1696,1653,5084,2525,2341,5313
"ENSMUSG00002076532",0,0,0,0,1,0
"ENSMUSG00000102556",0,0,0,0,4,0
"ENSMUSG00000038608",13,7,43,21,22,67
"ENSMUSG00000042501",0,0,0,2,1,0
"ENSMUSG00000103810",0,0,8,0,0,0
"ENSMUSG00000083422",2,4,25,8,7,5
"ENSMUSG00000119312",0,0,0,0,0,0
"ENSMUSG00000042641",1,0,0,0,0,2
"ENSMUSG00000081417",0,0,0,0,0,0
"ENSMUSG00000103448",0,0,0,0,0,0
"ENSMUSG00000103192",0,0,1,1,0,0
"ENSMUSG00000104488",0,0,0,0,0,0
"ENSMUSG00000100212",1,1,0,0,0,0
"ENSMUSG00000102721",0,0,0,0,0,1
"ENSMUSG00000100648",9,10,5,8,12,6
"ENSMUSG00002076499",0,0,0,0,0,0
"ENSMUSG00000099949",1,1,0,0,1,2
"ENSMUSG00000099918",0,0,0,0,0,0
"ENSMUSG00000026107",2104,2041,4823,2122,1993,3597
"ENSMUSG00000103424",0,0,0,0,0,0
"ENSMUSG00000104029",0,0,0,0,0,0
"ENSMUSG00000101986",0,0,0,0,0,0
"ENSMUSG00000087008",1,0,0,0,0,0
"ENSMUSG00000066797",0,0,0,0,0,0
"ENSMUSG00000048960",886,802,2478,1526,1297,2066
"ENSMUSG00002076439",0,0,0,0,0,0
"ENSMUSG00000100031",0,0,0,0,0,0
"ENSMUSG00000077318",0,0,0,0,0,0
"ENSMUSG00000101827",1,3,10,6,12,10
"ENSMUSG00000103494",0,0,0,0,0,1
"ENSMUSG00000067158",3,5,6,5,5,5
"ENSMUSG00000101880",0,0,0,0,0,0
"ENSMUSG00000101433",0,0,0,0,0,0
"ENSMUSG00000056708",161,130,265,96,92,129
"ENSMUSG00000026471",18,10,16,1,4,7
"ENSMUSG00000057715",123,136,332,127,110,267
"ENSMUSG00000026470",698,667,1335,717,726,1074
"ENSMUSG00000103825",0,0,0,0,0,2
"ENSMUSG00000099845",0,1,0,0,0,0
"ENSMUSG00000103561",0,0,1,0,0,0
"ENSMUSG00000101610",0,1,1,1,0,3
"ENSMUSG00000104181",2,0,5,3,1,6
"ENSMUSG00000118923",0,0,0,0,0,0
"ENSMUSG00000098555",0,0,0,0,0,0
"ENSMUSG00000097628",1,0,20,8,9,5
"ENSMUSG00000098163",1,4,4,4,2,7
"ENSMUSG00000033722",76,80,199,91,78,345
"ENSMUSG00000103670",0,1,0,1,0,5
"ENSMUSG00000026469",875,800,1918,1021,985,2123
"ENSMUSG00002076398",0,0,0,0,0,0
"ENSMUSG00000018417",1904,1904,3902,2618,2471,4470
"ENSMUSG00000101724",1,0,0,0,0,0
"ENSMUSG00000100313",0,2,0,0,0,0
"ENSMUSG00000100696",2,0,0,0,0,0
