"","ph.kmeans.cluster","gene","cluster_label"
"1",5,"LOC729737","four_cell_RNA"
"2",2,"OR4F5","maternal_oocyte_RNA"
"3",5,"LOC100288069","four_cell_RNA"
"4",5,"LINC00115","four_cell_RNA"
"5",3,"FAM41C","maternal_1C_2C_RNA"
"6",5,"KLHL17","four_cell_RNA"
"7",3,"LINC02593","maternal_1C_2C_RNA"
"8",4,"DDX11L1","hESC_RNA"
"9",1,"WASH7P","ICM_RNA"
"10",2,"SAMD11","maternal_oocyte_RNA"
"11",4,"NOC2L","hESC_RNA"
"12",1,"LINC01128","ICM_RNA"
"13",4,"LOC100288175","hESC_RNA"
"14",4,"RNF223","hESC_RNA"
"15",2,"HES4","maternal_oocyte_RNA"
"16",4,"ISG15","hESC_RNA"
"17",4,"AGRN","hESC_RNA"
"18",2,"C1orf159","maternal_oocyte_RNA"
"19",4,"PLEKHN1","hESC_RNA"
"20",2,"PERM1","maternal_oocyte_RNA"
"21",1,"MIR200A","ICM_RNA"
"22",4,"TNFRSF18","hESC_RNA"
"23",2,"LINC01342","maternal_oocyte_RNA"
"24",1,"TTLL10","ICM_RNA"
"25",2,"B3GALT6","maternal_oocyte_RNA"
"26",2,"C1QTNF12","maternal_oocyte_RNA"
"27",6,"SCNN1D","eight_cell_RNA"
"28",4,"UBE2J2","hESC_RNA"
"29",5,"SDF4","four_cell_RNA"
"30",4,"CPTP","hESC_RNA"
"31",2,"MXRA8","maternal_oocyte_RNA"
"32",6,"TAS1R3","eight_cell_RNA"
"33",3,"DVL1","maternal_1C_2C_RNA"
"34",4,"PUSL1","hESC_RNA"
"35",4,"INTS11","hESC_RNA"
"36",3,"MIR6727","maternal_1C_2C_RNA"
"37",6,"ACAP3","eight_cell_RNA"
"38",4,"AURKAIP1","hESC_RNA"
"39",1,"TMEM88B","ICM_RNA"
"40",4,"LINC01770","hESC_RNA"
"41",6,"ANKRD65","eight_cell_RNA"
"42",5,"MRPL20-AS1","four_cell_RNA"
"43",5,"MRPL20","four_cell_RNA"
"44",4,"VWA1","hESC_RNA"
"45",5,"CCNL2","four_cell_RNA"
"46",2,"ATAD3B","maternal_oocyte_RNA"
"47",6,"ATAD3C","eight_cell_RNA"
"48",2,"ATAD3A","maternal_oocyte_RNA"
"49",2,"SSU72","maternal_oocyte_RNA"
"50",4,"TMEM240","hESC_RNA"
"51",5,"SLC35E2A","four_cell_RNA"
"52",6,"MMP23B","eight_cell_RNA"
"53",2,"FNDC10","maternal_oocyte_RNA"
"54",2,"LOC105378586","maternal_oocyte_RNA"
"55",1,"TMEM52","ICM_RNA"
"56",6,"MIB2","eight_cell_RNA"
"57",5,"GABRD","four_cell_RNA"
"58",6,"CFAP74","eight_cell_RNA"
"59",2,"NADK","maternal_oocyte_RNA"
"60",1,"GNB1","ICM_RNA"
"61",3,"SKI","maternal_1C_2C_RNA"
"62",4,"PANK4","hESC_RNA"
"63",1,"PLCH2","ICM_RNA"
"64",5,"CDK11B","four_cell_RNA"
"65",5,"CDK11A","four_cell_RNA"
"66",4,"SLC35E2B","hESC_RNA"
"67",4,"MORN1","hESC_RNA"
"68",6,"RER1","eight_cell_RNA"
"69",4,"PEX10","hESC_RNA"
"70",3,"HES5","maternal_1C_2C_RNA"
"71",2,"ACTRT2","maternal_oocyte_RNA"
"72",3,"TTC34","maternal_1C_2C_RNA"
"73",5,"TNFRSF14-AS1","four_cell_RNA"
"74",2,"TNFRSF14","maternal_oocyte_RNA"
"75",5,"PRDM16-DT","four_cell_RNA"
"76",1,"ARHGEF16","ICM_RNA"
"77",5,"TPRG1L","four_cell_RNA"
"78",1,"WRAP73","ICM_RNA"
"79",4,"PRXL2B","hESC_RNA"
"80",5,"MMEL1","four_cell_RNA"
"81",3,"PRDM16","maternal_1C_2C_RNA"
"82",4,"SMIM1","hESC_RNA"
"83",2,"MEGF6","maternal_oocyte_RNA"
"84",6,"CCDC27","eight_cell_RNA"
"85",4,"LRRC47","hESC_RNA"
"86",6,"CEP104","eight_cell_RNA"
"87",2,"LINC01134","maternal_oocyte_RNA"
"88",4,"DFFB","hESC_RNA"
"89",1,"AJAP1","ICM_RNA"
"90",1,"C1orf174","ICM_RNA"
"91",5,"CHD5","four_cell_RNA"
"92",4,"PRKCZ","hESC_RNA"
"93",6,"PRKCZ-AS1","eight_cell_RNA"
"94",4,"FAAP20","hESC_RNA"
"95",4,"RPL22","hESC_RNA"
"96",2,"TP73","maternal_oocyte_RNA"
"97",3,"TP73-AS1","maternal_1C_2C_RNA"
"98",5,"LINC00337","four_cell_RNA"
"99",3,"GPR153","maternal_1C_2C_RNA"
"100",5,"HES2","four_cell_RNA"
"101",5,"RNF207","four_cell_RNA"
"102",4,"ICMT","hESC_RNA"
"103",3,"NPHP4","maternal_1C_2C_RNA"
"104",1,"KCNAB2","ICM_RNA"
"105",4,"ACOT7","hESC_RNA"
"106",4,"HES3","hESC_RNA"
"107",5,"KLHL21","four_cell_RNA"
"108",5,"TAS1R1","four_cell_RNA"
"109",4,"ZBTB48","hESC_RNA"
"110",5,"NOL9","four_cell_RNA"
"111",4,"ESPN","hESC_RNA"
"112",6,"TNFRSF25","eight_cell_RNA"
"113",3,"PLEKHG5","maternal_1C_2C_RNA"
"114",4,"CAMTA1-DT","hESC_RNA"
"115",1,"PHF13","ICM_RNA"
"116",4,"THAP3","hESC_RNA"
"117",2,"DNAJC11","maternal_oocyte_RNA"
"118",5,"UTS2","four_cell_RNA"
"119",6,"TNFRSF9","eight_cell_RNA"
"120",1,"VAMP3","ICM_RNA"
"121",1,"PER3","ICM_RNA"
"122",3,"SLC45A1","maternal_1C_2C_RNA"
"123",2,"ERRFI1","maternal_oocyte_RNA"
"124",4,"PARK7","hESC_RNA"
"125",2,"SLC2A7","maternal_oocyte_RNA"
"126",2,"GPR157","maternal_oocyte_RNA"
"127",5,"CA6","four_cell_RNA"
"128",4,"ENO1","hESC_RNA"
"129",5,"MIR6728","four_cell_RNA"
"130",5,"SLC2A5","four_cell_RNA"
"131",3,"RERE","maternal_1C_2C_RNA"
"132",3,"H6PD","maternal_1C_2C_RNA"
"133",1,"SPSB1","ICM_RNA"
"134",2,"LINC02606","maternal_oocyte_RNA"
"135",2,"SLC25A33","maternal_oocyte_RNA"
"136",3,"TMEM201","maternal_1C_2C_RNA"
"137",5,"MIR34AHG","four_cell_RNA"
"138",4,"MIR34A","hESC_RNA"
"139",4,"LNCTAM34A","hESC_RNA"
"140",4,"CAMTA1","hESC_RNA"
"141",3,"CTNNBIP1","maternal_1C_2C_RNA"
"142",1,"CLSTN1","ICM_RNA"
"143",5,"RBP7","four_cell_RNA"
"144",4,"UBE4B","hESC_RNA"
"145",4,"PIK3CD","hESC_RNA"
"146",1,"PIK3CD-AS1","ICM_RNA"
"147",6,"PIK3CD-AS2","eight_cell_RNA"
"148",6,"LZIC","eight_cell_RNA"
"149",5,"NMNAT1","four_cell_RNA"
"150",4,"PGD","hESC_RNA"
"151",3,"KIF1B","maternal_1C_2C_RNA"
"152",4,"DFFA","hESC_RNA"
"153",4,"TARDBP","hESC_RNA"
"154",5,"CASZ1","four_cell_RNA"
"155",2,"PEX14","maternal_oocyte_RNA"
"156",6,"C1orf127","eight_cell_RNA"
"157",2,"SRM","maternal_oocyte_RNA"
"158",5,"CENPS-CORT","four_cell_RNA"
"159",6,"CENPS","eight_cell_RNA"
"160",6,"CORT","eight_cell_RNA"
"161",5,"MASP2","four_cell_RNA"
"162",5,"FBXO6","four_cell_RNA"
"163",5,"UBIAD1","four_cell_RNA"
"164",5,"LINC01647","four_cell_RNA"
"165",5,"DISP3","four_cell_RNA"
"166",3,"MTOR","maternal_1C_2C_RNA"
"167",6,"MTOR-AS1","eight_cell_RNA"
"168",5,"EXOSC10","four_cell_RNA"
"169",4,"EXOSC10-AS1","hESC_RNA"
"170",4,"FBXO2","hESC_RNA"
"171",4,"FBXO44","hESC_RNA"
"172",4,"MAD2L2","hESC_RNA"
"173",4,"DRAXIN","hESC_RNA"
"174",4,"PLOD1","hESC_RNA"
"175",2,"RNU5E-1","maternal_oocyte_RNA"
"176",4,"NPPB","hESC_RNA"
"177",2,"KIAA2013","maternal_oocyte_RNA"
"178",6,"AGTRAP","eight_cell_RNA"
"179",4,"TNFRSF8","hESC_RNA"
"180",3,"MFN2","maternal_1C_2C_RNA"
"181",2,"MIIP","maternal_oocyte_RNA"
"182",3,"TNFRSF1B","maternal_1C_2C_RNA"
"183",2,"DHRS3","maternal_oocyte_RNA"
"184",4,"AADACL3","hESC_RNA"
"185",6,"C1orf167","eight_cell_RNA"
"186",4,"CLCN6","hESC_RNA"
"187",4,"NPPA-AS1","hESC_RNA"
"188",1,"LOC102724659","ICM_RNA"
"189",3,"MTHFR","maternal_1C_2C_RNA"
"190",1,"NPPA","ICM_RNA"
"191",3,"VPS13D","maternal_1C_2C_RNA"
"192",3,"C1orf158","maternal_1C_2C_RNA"
"193",2,"AADACL4","maternal_oocyte_RNA"
"194",3,"PRAMEF12","maternal_1C_2C_RNA"
"195",5,"PRAMEF11","four_cell_RNA"
"196",5,"PRAMEF2","four_cell_RNA"
"197",3,"PRAMEF1","maternal_1C_2C_RNA"
"198",5,"HNRNPCL4","four_cell_RNA"
"199",2,"HNRNPCL3","maternal_oocyte_RNA"
"200",5,"HNRNPCL1","four_cell_RNA"
"201",5,"PRAMEF4","four_cell_RNA"
"202",5,"HNRNPCL2","four_cell_RNA"
"203",5,"PRAMEF36P","four_cell_RNA"
"204",5,"PRAMEF17","four_cell_RNA"
"205",3,"PRAMEF27","maternal_1C_2C_RNA"
"206",5,"PRAMEF25","four_cell_RNA"
"207",5,"PRAMEF26","four_cell_RNA"
"208",5,"PRAMEF36P.1","four_cell_RNA"
"209",5,"LRRC38","four_cell_RNA"
"210",2,"KAZN-AS1","maternal_oocyte_RNA"
"211",3,"PRDM2","maternal_1C_2C_RNA"
"212",2,"EFHD2","maternal_oocyte_RNA"
"213",2,"TMEM51","maternal_oocyte_RNA"
"214",3,"C1orf195","maternal_1C_2C_RNA"
"215",3,"FHAD1","maternal_1C_2C_RNA"
"216",2,"LOC101927417","maternal_oocyte_RNA"
"217",1,"CTRC","ICM_RNA"
"218",2,"KAZN","maternal_oocyte_RNA"
"219",1,"TMEM51-AS1","ICM_RNA"
"220",5,"PRAMEF19","four_cell_RNA"
"221",3,"PRAMEF27.1","maternal_1C_2C_RNA"
"222",3,"PRAMEF10","maternal_1C_2C_RNA"
"223",5,"PRAMEF33","four_cell_RNA"
"224",5,"PRAMEF15","four_cell_RNA"
"225",3,"PRAMEF27.2","maternal_1C_2C_RNA"
"226",5,"PRAMEF17.1","four_cell_RNA"
"227",3,"PRAMEF10.1","maternal_1C_2C_RNA"
"228",5,"PRAMEF33.1","four_cell_RNA"
"229",5,"PRAMEF15.1","four_cell_RNA"
"230",3,"PRAMEF27.3","maternal_1C_2C_RNA"
"231",3,"PRAMEF13","maternal_1C_2C_RNA"
"232",3,"PLEKHM2","maternal_1C_2C_RNA"
"233",5,"DDI2","four_cell_RNA"
"234",6,"RSC1A1","eight_cell_RNA"
"235",6,"CELA2A","eight_cell_RNA"
"236",5,"CELA2B","four_cell_RNA"
"237",6,"PDPN","eight_cell_RNA"
"238",4,"FBLIM1","hESC_RNA"
"239",1,"SLC25A34","ICM_RNA"
"240",3,"TMEM82","maternal_1C_2C_RNA"
"241",2,"DNAJC16","maternal_oocyte_RNA"
"242",3,"AGMAT","maternal_1C_2C_RNA"
"243",1,"CASP9","ICM_RNA"
"244",2,"UQCRHL","maternal_oocyte_RNA"
"245",5,"FLJ37453","four_cell_RNA"
"246",2,"SPEN","maternal_oocyte_RNA"
"247",3,"ZBTB17","maternal_1C_2C_RNA"
"248",5,"FAM131C","four_cell_RNA"
"249",3,"CLCNKB","maternal_1C_2C_RNA"
"250",3,"SRARP","maternal_1C_2C_RNA"
"251",2,"HSPB7","maternal_oocyte_RNA"
"252",4,"EPHA2","hESC_RNA"
"253",3,"CLCNKA","maternal_1C_2C_RNA"
"254",2,"CPLANE2","maternal_oocyte_RNA"
"255",4,"ARHGEF19","hESC_RNA"
"256",4,"FBXO42","hESC_RNA"
"257",4,"CROCCP2","hESC_RNA"
"258",3,"LOC440570","maternal_1C_2C_RNA"
"259",3,"LINC01783","maternal_1C_2C_RNA"
"260",2,"LINC01772","maternal_oocyte_RNA"
"261",4,"CROCCP3","hESC_RNA"
"262",5,"MST1P2","four_cell_RNA"
"263",1,"NECAP2","ICM_RNA"
"264",6,"RNU1-2","eight_cell_RNA"
"265",2,"SZRD1","maternal_oocyte_RNA"
"266",1,"SPATA21","ICM_RNA"
"267",1,"NBPF1","ICM_RNA"
"268",6,"RNU1-2.1","eight_cell_RNA"
"269",5,"ESPNP","four_cell_RNA"
"270",1,"MST1L","ICM_RNA"
"271",1,"LOC102724562","ICM_RNA"
"272",3,"LOC440570.1","maternal_1C_2C_RNA"
"273",3,"LOC112267871","maternal_1C_2C_RNA"
"274",6,"RNU1-2.2","eight_cell_RNA"
"275",4,"LOC105376805","hESC_RNA"
"276",4,"MFAP2","hESC_RNA"
"277",4,"CROCC","hESC_RNA"
"278",4,"PADI2","hESC_RNA"
"279",4,"PADI1","hESC_RNA"
"280",6,"ATP13A2","eight_cell_RNA"
"281",5,"LOC400743","four_cell_RNA"
"282",2,"SDHB","maternal_oocyte_RNA"
"283",4,"PADI3","hESC_RNA"
"284",6,"PADI4","eight_cell_RNA"
"285",4,"ARHGEF10L","hESC_RNA"
"286",4,"IGSF21","hESC_RNA"
"287",4,"RCC2","hESC_RNA"
"288",1,"ACTL8","ICM_RNA"
"289",4,"KLHDC7A","hESC_RNA"
"290",4,"IFFO2","hESC_RNA"
"291",5,"TAS1R2","four_cell_RNA"
"292",2,"PAX7","maternal_oocyte_RNA"
"293",4,"UBR4","hESC_RNA"
"294",2,"AKR7L","maternal_oocyte_RNA"
"295",6,"LOC100506730","eight_cell_RNA"
"296",5,"MRTO4","four_cell_RNA"
"297",4,"ALDH4A1","hESC_RNA"
"298",6,"PADI6","eight_cell_RNA"
"299",3,"PQLC2","maternal_1C_2C_RNA"
"300",4,"AKR7A2","hESC_RNA"
"301",5,"EMC1-AS1","four_cell_RNA"
"302",4,"EMC1","hESC_RNA"
"303",3,"HTR6","maternal_1C_2C_RNA"
"304",2,"TMCO4","maternal_oocyte_RNA"
"305",4,"CAPZB","hESC_RNA"
"306",1,"OTUD3","ICM_RNA"
"307",1,"PLA2G2F","ICM_RNA"
"308",3,"PLA2G2A","maternal_1C_2C_RNA"
"309",3,"PLA2G5","maternal_1C_2C_RNA"
"310",2,"LINC01757","maternal_oocyte_RNA"
"311",4,"UBXN10-AS1","hESC_RNA"
"312",6,"UBXN10","eight_cell_RNA"
"313",2,"PLA2G2D","maternal_oocyte_RNA"
"314",6,"LINC01141","eight_cell_RNA"
"315",4,"MICOS10","hESC_RNA"
"316",2,"MICOS10-NBL1","maternal_oocyte_RNA"
"317",1,"NBL1","ICM_RNA"
"318",2,"RPS14P3","maternal_oocyte_RNA"
"319",5,"CAMK2N1","four_cell_RNA"
"320",4,"VWA5B1","hESC_RNA"
"321",5,"FAM43B","four_cell_RNA"
"322",6,"CDA","eight_cell_RNA"
"323",6,"MUL1","eight_cell_RNA"
"324",2,"SH2D5","maternal_oocyte_RNA"
"325",4,"KIF17","hESC_RNA"
"326",4,"HP1BP3","hESC_RNA"
"327",2,"NBPF3","maternal_oocyte_RNA"
"328",2,"ALPL","maternal_oocyte_RNA"
"329",4,"ECE1","hESC_RNA"
"330",2,"LOC100506801","maternal_oocyte_RNA"
"331",3,"EIF4G3","maternal_1C_2C_RNA"
"332",2,"PINK1","maternal_oocyte_RNA"
"333",6,"MIR6084","eight_cell_RNA"
"334",5,"PINK1-AS","four_cell_RNA"
"335",4,"DDOST","hESC_RNA"
"336",6,"CELA3A","eight_cell_RNA"
"337",6,"RAP1GAP","eight_cell_RNA"
"338",5,"CELA3B","four_cell_RNA"
"339",5,"LINC00339","four_cell_RNA"
"340",4,"LDLRAD2","hESC_RNA"
"341",4,"HSPG2","hESC_RNA"
"342",2,"WNT4","maternal_oocyte_RNA"
"343",4,"CDC42","hESC_RNA"
"344",3,"USP48","maternal_1C_2C_RNA"
"345",5,"C1QA","four_cell_RNA"
"346",2,"C1QC","maternal_oocyte_RNA"
"347",6,"EPHA8","eight_cell_RNA"
"348",5,"ZBTB40","four_cell_RNA"
"349",3,"C1QB","maternal_1C_2C_RNA"
"350",5,"TEX46","four_cell_RNA"
"351",1,"LACTBL1","ICM_RNA"
"352",5,"LINC01355","four_cell_RNA"
"353",2,"HTR1D","maternal_oocyte_RNA"
"354",2,"EPHB2","maternal_oocyte_RNA"
"355",1,"TCEA3","ICM_RNA"
"356",5,"LUZP1","four_cell_RNA"
"357",4,"ASAP3","hESC_RNA"
"358",2,"HNRNPR","maternal_oocyte_RNA"
"359",2,"E2F2","maternal_oocyte_RNA"
"360",3,"KDM1A","maternal_1C_2C_RNA"
"361",4,"ID3","hESC_RNA"
"362",6,"ZNF436","eight_cell_RNA"
"363",5,"ZNF436-AS1","four_cell_RNA"
"364",1,"PITHD1","ICM_RNA"
"365",2,"LYPLA2","maternal_oocyte_RNA"
"366",4,"GALE","hESC_RNA"
"367",6,"HMGCL","eight_cell_RNA"
"368",4,"PNRC2","hESC_RNA"
"369",5,"ELOA","four_cell_RNA"
"370",5,"ELOA-AS1","four_cell_RNA"
"371",4,"RPL11","hESC_RNA"
"372",2,"CNR2","maternal_oocyte_RNA"
"373",6,"FUCA1","eight_cell_RNA"
"374",4,"SRSF10","hESC_RNA"
"375",4,"MYOM3","hESC_RNA"
"376",2,"IL22RA1","maternal_oocyte_RNA"
"377",4,"IFNLR1","hESC_RNA"
"378",3,"NCMAP","maternal_1C_2C_RNA"
"379",6,"LOC100506985","eight_cell_RNA"
"380",5,"SYF2","four_cell_RNA"
"381",4,"CLIC4","hESC_RNA"
"382",2,"RCAN3","maternal_oocyte_RNA"
"383",5,"RSRP1","four_cell_RNA"
"384",4,"RHD","hESC_RNA"
"385",6,"TMEM50A","eight_cell_RNA"
"386",3,"RHCE","maternal_1C_2C_RNA"
"387",1,"RUNX3","ICM_RNA"
"388",6,"MACO1","eight_cell_RNA"
"389",2,"MAN1C1","maternal_oocyte_RNA"
"390",6,"LDLRAP1","eight_cell_RNA"
"391",4,"SELENON","hESC_RNA"
"392",3,"PAQR7","maternal_1C_2C_RNA"
"393",6,"PAFAH2","eight_cell_RNA"
"394",2,"SLC30A2","maternal_oocyte_RNA"
"395",6,"EXTL1","eight_cell_RNA"
"396",2,"STMN1","maternal_oocyte_RNA"
"397",4,"MIR3917","hESC_RNA"
"398",5,"FAM110D","four_cell_RNA"
"399",6,"MTFR1L","eight_cell_RNA"
"400",2,"LOC646471","maternal_oocyte_RNA"
"401",1,"AUNIP","ICM_RNA"
"402",4,"CATSPER4","hESC_RNA"
"403",5,"TRIM63","four_cell_RNA"
"404",5,"CNKSR1","four_cell_RNA"
"405",4,"C1orf232","hESC_RNA"
"406",2,"ZNF593","maternal_oocyte_RNA"
"407",1,"PDIK1L","ICM_RNA"
"408",4,"LOC101928303","hESC_RNA"
"409",5,"SH3BGRL3","four_cell_RNA"
"410",2,"CRYBG2","maternal_oocyte_RNA"
"411",5,"ZNF683","four_cell_RNA"
"412",1,"CEP85","ICM_RNA"
"413",3,"UBXN11","maternal_1C_2C_RNA"
"414",5,"CD52","four_cell_RNA"
"415",4,"LIN28A","hESC_RNA"
"416",4,"HMGN2","hESC_RNA"
"417",3,"PIGV","maternal_1C_2C_RNA"
"418",2,"RPS6KA1","maternal_oocyte_RNA"
"419",5,"DHDDS","four_cell_RNA"
"420",5,"LOC101928324","four_cell_RNA"
"421",6,"LOC101928728","eight_cell_RNA"
"422",4,"ARID1A","hESC_RNA"
"423",2,"NR0B2","maternal_oocyte_RNA"
"424",3,"ZDHHC18","maternal_1C_2C_RNA"
"425",5,"GPATCH3","four_cell_RNA"
"426",4,"SFN","hESC_RNA"
"427",4,"SRRM1","hESC_RNA"
"428",2,"KDF1","maternal_oocyte_RNA"
"429",4,"NUDC","hESC_RNA"
"430",5,"GPN2","four_cell_RNA"
"431",4,"TRNP1","hESC_RNA"
"432",3,"SLC9A1","maternal_1C_2C_RNA"
"433",3,"TENT5B","maternal_1C_2C_RNA"
"434",5,"WDTC1","four_cell_RNA"
"435",2,"MAP3K6","maternal_oocyte_RNA"
"436",1,"GPR3","ICM_RNA"
"437",4,"TMEM222","hESC_RNA"
"438",4,"ACTG1P20","hESC_RNA"
"439",5,"CD164L2","four_cell_RNA"
"440",3,"AHDC1","maternal_1C_2C_RNA"
"441",4,"SYTL1","hESC_RNA"
"442",3,"FGR","maternal_1C_2C_RNA"
"443",3,"FCN3","maternal_1C_2C_RNA"
"444",4,"IFI6","hESC_RNA"
"445",5,"FAM76A","four_cell_RNA"
"446",3,"WASF2","maternal_1C_2C_RNA"
"447",1,"STX12","ICM_RNA"
"448",4,"THEMIS2","hESC_RNA"
"449",6,"XKR8","eight_cell_RNA"
"450",4,"SMPDL3B","hESC_RNA"
"451",5,"PTAFR","four_cell_RNA"
"452",6,"RPA2","eight_cell_RNA"
"453",4,"DNAJC8","hESC_RNA"
"454",2,"PPP1R8","maternal_oocyte_RNA"
"455",2,"SCARNA1","maternal_oocyte_RNA"
"456",5,"EYA3","four_cell_RNA"
"457",5,"SESN2","four_cell_RNA"
"458",4,"PHACTR4","hESC_RNA"
"459",5,"MED18","four_cell_RNA"
"460",4,"ATP5IF1","hESC_RNA"
"461",2,"RAB42","maternal_oocyte_RNA"
"462",1,"TAF12","ICM_RNA"
"463",4,"LINC01715","hESC_RNA"
"464",2,"RNU11","maternal_oocyte_RNA"
"465",3,"GMEB1","maternal_1C_2C_RNA"
"466",5,"SNHG3","four_cell_RNA"
"467",2,"RCC1","maternal_oocyte_RNA"
"468",2,"SNORA73A","maternal_oocyte_RNA"
"469",2,"SNORA73B","maternal_oocyte_RNA"
"470",5,"YTHDF2","four_cell_RNA"
"471",5,"OPRD1","four_cell_RNA"
"472",4,"SRSF4","hESC_RNA"
"473",5,"LINC01756","four_cell_RNA"
"474",2,"PTPRU","maternal_oocyte_RNA"
"475",4,"EPB41","hESC_RNA"
"476",5,"TMEM200B","four_cell_RNA"
"477",4,"LINC01778","hESC_RNA"
"478",5,"MATN1","four_cell_RNA"
"479",2,"MATN1-AS1","maternal_oocyte_RNA"
"480",6,"MECR","eight_cell_RNA"
"481",6,"LAPTM5","eight_cell_RNA"
"482",2,"TRNAU1AP","maternal_oocyte_RNA"
"483",2,"SNHG12","maternal_oocyte_RNA"
"484",1,"SNORA61","ICM_RNA"
"485",2,"SNORA44","maternal_oocyte_RNA"
"486",6,"SNORD99","eight_cell_RNA"
"487",1,"SNORA16A","ICM_RNA"
"488",4,"NKAIN1","hESC_RNA"
"489",4,"SNRNP40","hESC_RNA"
"490",4,"SDC3","hESC_RNA"
"491",2,"FABP3","maternal_oocyte_RNA"
"492",3,"SERINC2","maternal_1C_2C_RNA"
"493",5,"LINC01226","four_cell_RNA"
"494",2,"TINAGL1","maternal_oocyte_RNA"
"495",4,"ZCCHC17","hESC_RNA"
"496",4,"PUM1","hESC_RNA"
"497",1,"SNORD103C","ICM_RNA"
"498",1,"HCRTR1","ICM_RNA"
"499",1,"SPOCD1","ICM_RNA"
"500",4,"COL16A1","hESC_RNA"
"501",3,"ADGRB2","maternal_1C_2C_RNA"
"502",4,"PTP4A2","hESC_RNA"
"503",4,"PEF1","hESC_RNA"
"504",4,"KHDRBS1","hESC_RNA"
"505",3,"TMEM39B","maternal_1C_2C_RNA"
"506",4,"IQCC","hESC_RNA"
"507",4,"MTMR9LP","hESC_RNA"
"508",4,"TXLNA","hESC_RNA"
"509",6,"CCDC28B","eight_cell_RNA"
"510",5,"KPNA6","four_cell_RNA"
"511",1,"GRHL3","ICM_RNA"
"512",1,"STPG1","ICM_RNA"
"513",6,"NIPAL3","eight_cell_RNA"
"514",3,"FAM167B","maternal_1C_2C_RNA"
"515",4,"LCK","hESC_RNA"
"516",2,"FAM229A","maternal_oocyte_RNA"
"517",4,"MARCKSL1","hESC_RNA"
"518",2,"TSSK3","maternal_oocyte_RNA"
"519",2,"HDAC1","maternal_oocyte_RNA"
"520",5,"DCDC2B","four_cell_RNA"
"521",4,"EIF3I","hESC_RNA"
"522",4,"TMEM234","hESC_RNA"
"523",4,"ZBTB8A","hESC_RNA"
"524",3,"BSDC1","maternal_1C_2C_RNA"
"525",3,"ZBTB8B","maternal_1C_2C_RNA"
"526",6,"FNDC5","eight_cell_RNA"
"527",4,"KIAA1522","hESC_RNA"
"528",5,"RNF19B","four_cell_RNA"
"529",6,"RBBP4","eight_cell_RNA"
"530",5,"SYNC","four_cell_RNA"
"531",1,"HPCA","ICM_RNA"
"532",6,"TMEM54","eight_cell_RNA"
"533",4,"YARS","hESC_RNA"
"534",1,"S100PBP","ICM_RNA"
"535",2,"AK2","maternal_oocyte_RNA"
"536",3,"ZNF362","maternal_1C_2C_RNA"
"537",1,"TRIM62","ICM_RNA"
"538",1,"A3GALT2","ICM_RNA"
"539",3,"ZSCAN20","maternal_1C_2C_RNA"
"540",1,"AZIN2","ICM_RNA"
"541",1,"PHC2","ICM_RNA"
"542",4,"CSMD2","hESC_RNA"
"543",5,"CSMD2-AS1","four_cell_RNA"
"544",4,"GJB3","hESC_RNA"
"545",4,"C1orf94","hESC_RNA"
"546",4,"GJB5","hESC_RNA"
"547",4,"GJA4","hESC_RNA"
"548",2,"SMIM12","maternal_oocyte_RNA"
"549",2,"GJB4","maternal_oocyte_RNA"
"550",3,"LOC653160","maternal_1C_2C_RNA"
"551",4,"ZBTB8OS","hESC_RNA"
"552",4,"DLGAP3","hESC_RNA"
"553",5,"ZMYM6","four_cell_RNA"
"554",1,"TMEM35B","ICM_RNA"
"555",4,"ZMYM1","hESC_RNA"
"556",4,"TFAP2E","hESC_RNA"
"557",6,"KIAA0319L","eight_cell_RNA"
"558",4,"SFPQ","hESC_RNA"
"559",4,"NCDN","hESC_RNA"
"560",5,"C1orf216","four_cell_RNA"
"561",4,"ZMYM4","hESC_RNA"
"562",2,"ZMYM4-AS1","maternal_oocyte_RNA"
"563",4,"PSMB2","hESC_RNA"
"564",5,"AGO4","four_cell_RNA"
"565",5,"TEKT2","four_cell_RNA"
"566",4,"ADPRHL2","hESC_RNA"
"567",5,"CLSPN","four_cell_RNA"
"568",4,"COL8A2","hESC_RNA"
"569",3,"AGO1","maternal_1C_2C_RNA"
"570",5,"AGO3","four_cell_RNA"
"571",4,"LSM10","hESC_RNA"
"572",3,"STK40","maternal_1C_2C_RNA"
"573",4,"THRAP3","hESC_RNA"
"574",2,"SH3D21","maternal_oocyte_RNA"
"575",5,"EVA1B","four_cell_RNA"
"576",4,"MRPS15","hESC_RNA"
"577",6,"OSCP1","eight_cell_RNA"
"578",1,"SNORA63C","ICM_RNA"
"579",4,"LINC01137","hESC_RNA"
"580",2,"CSF3R","maternal_oocyte_RNA"
"581",1,"GRIK3","ICM_RNA"
"582",1,"ZC3H12A","ICM_RNA"
"583",6,"TRAPPC3","eight_cell_RNA"
"584",3,"MAP7D1","maternal_1C_2C_RNA"
"585",5,"SNIP1","four_cell_RNA"
"586",5,"RSPO1","four_cell_RNA"
"587",1,"CDCA8","ICM_RNA"
"588",1,"EPHA10","ICM_RNA"
"589",4,"DNALI1","hESC_RNA"
"590",5,"GNL2","four_cell_RNA"
"591",1,"MEAF6","ICM_RNA"
"592",5,"MTF1","four_cell_RNA"
"593",5,"MANEAL","four_cell_RNA"
"594",4,"SF3A3","hESC_RNA"
"595",5,"YRDC","four_cell_RNA"
"596",2,"C1orf122","maternal_oocyte_RNA"
