"","ph.kmeans.cluster","gene","cluster_label"
"13444",6,"PLAAT5","eight_cell_RNA"
"13445",2,"SLC22A9","maternal_oocyte_RNA"
"13446",6,"LGALS12","eight_cell_RNA"
"13447",1,"PLAAT2","ICM_RNA"
"13448",4,"PLAAT4","hESC_RNA"
"13449",6,"PLAAT3","eight_cell_RNA"
"13450",3,"ATL3","maternal_1C_2C_RNA"
"13451",5,"SNHG1","four_cell_RNA"
"13452",6,"SNORD25","eight_cell_RNA"
"13453",2,"SNORD22","maternal_oocyte_RNA"
"13454",2,"SNORD31","maternal_oocyte_RNA"
"13455",5,"SNORD30","four_cell_RNA"
"13456",2,"SNORD29","maternal_oocyte_RNA"
"13457",2,"SNORD28","maternal_oocyte_RNA"
"13458",2,"SNORD27","maternal_oocyte_RNA"
"13459",3,"SNORD26","maternal_1C_2C_RNA"
"13460",1,"SPINDOC","ICM_RNA"
"13461",4,"RCOR2","hESC_RNA"
"13462",2,"C11orf95","maternal_oocyte_RNA"
"13463",5,"NAA40","four_cell_RNA"
"13464",1,"MARK2","ICM_RNA"
"13465",4,"COX8A","hESC_RNA"
"13466",6,"RTN3","eight_cell_RNA"
"13467",6,"OTUB1","eight_cell_RNA"
"13468",4,"MACROD1","hESC_RNA"
"13469",2,"FLRT1","maternal_oocyte_RNA"
"13470",4,"NUDT22","hESC_RNA"
"13471",4,"VEGFB","hESC_RNA"
"13472",6,"DNAJC4","eight_cell_RNA"
"13473",4,"STIP1","hESC_RNA"
"13474",5,"FERMT3","four_cell_RNA"
"13475",4,"TRPT1","hESC_RNA"
"13476",4,"PLCB3","hESC_RNA"
"13477",6,"FKBP2","eight_cell_RNA"
"13478",2,"KCNK4","maternal_oocyte_RNA"
"13479",2,"KCNK4-TEX40","maternal_oocyte_RNA"
"13480",2,"CATSPERZ","maternal_oocyte_RNA"
"13481",2,"PPP1R14B","maternal_oocyte_RNA"
"13482",6,"LOC105369340","eight_cell_RNA"
"13483",4,"BAD","hESC_RNA"
"13484",3,"GPR137","maternal_1C_2C_RNA"
"13485",4,"SLC22A12","hESC_RNA"
"13486",4,"PRDX5","hESC_RNA"
"13487",2,"SLC22A11","maternal_oocyte_RNA"
"13488",5,"CCDC88B","four_cell_RNA"
"13489",2,"RPS6KA4","maternal_oocyte_RNA"
"13490",2,"ESRRA","maternal_oocyte_RNA"
"13491",6,"TRMT112","eight_cell_RNA"
"13492",2,"NRXN2","maternal_oocyte_RNA"
"13493",4,"PYGM","hESC_RNA"
"13494",4,"RASGRP2","hESC_RNA"
"13495",5,"MAP4K2","four_cell_RNA"
"13496",2,"CDC42BPG","maternal_oocyte_RNA"
"13497",3,"EHD1","maternal_1C_2C_RNA"
"13498",3,"MEN1","maternal_1C_2C_RNA"
"13499",1,"MAJIN","ICM_RNA"
"13500",5,"MIR194-2HG","four_cell_RNA"
"13501",5,"MIR192","four_cell_RNA"
"13502",2,"MIR194-2","maternal_oocyte_RNA"
"13503",6,"BATF2","eight_cell_RNA"
"13504",6,"PPP2R5B","eight_cell_RNA"
"13505",6,"GPHA2","eight_cell_RNA"
"13506",5,"SF1","four_cell_RNA"
"13507",4,"CDCA5","hESC_RNA"
"13508",5,"ATG2A","four_cell_RNA"
"13509",5,"ZNHIT2","four_cell_RNA"
"13510",5,"SAC3D1","four_cell_RNA"
"13511",4,"NAALADL1","hESC_RNA"
"13512",4,"ZFPL1","hESC_RNA"
"13513",2,"TMEM262","maternal_oocyte_RNA"
"13514",4,"ARL2","hESC_RNA"
"13515",6,"ARL2-SNX15","eight_cell_RNA"
"13516",1,"SNX15","ICM_RNA"
"13517",4,"VPS51","hESC_RNA"
"13518",4,"TM7SF2","hESC_RNA"
"13519",5,"FAU","four_cell_RNA"
"13520",4,"SLC22A20P","hESC_RNA"
"13521",4,"CDC42EP2","hESC_RNA"
"13522",3,"POLA2","maternal_1C_2C_RNA"
"13523",6,"SPDYC","eight_cell_RNA"
"13524",1,"LOC728975","ICM_RNA"
"13525",4,"CAPN1","hESC_RNA"
"13526",5,"TIGD3","four_cell_RNA"
"13527",5,"LOC101927789","four_cell_RNA"
"13528",1,"DPF2","ICM_RNA"
"13529",4,"MRPL49","hESC_RNA"
"13530",6,"SYVN1","eight_cell_RNA"
"13531",5,"FRMD8","four_cell_RNA"
"13532",2,"NEAT1","maternal_oocyte_RNA"
"13533",6,"SLC25A45","eight_cell_RNA"
"13534",5,"SSSCA1-AS1","four_cell_RNA"
"13535",5,"ZNRD2","four_cell_RNA"
"13536",4,"EHBP1L1","hESC_RNA"
"13537",5,"FAM89B","four_cell_RNA"
"13538",1,"KCNK7","ICM_RNA"
"13539",4,"SCYL1","hESC_RNA"
"13540",4,"LTBP3","hESC_RNA"
"13541",2,"MALAT1","maternal_oocyte_RNA"
"13542",1,"MASCRNA","ICM_RNA"
"13543",4,"TALAM1","hESC_RNA"
"13544",5,"MAP3K11","four_cell_RNA"
"13545",3,"PCNX3","maternal_1C_2C_RNA"
"13546",3,"RELA","maternal_1C_2C_RNA"
"13547",4,"SIPA1","hESC_RNA"
"13548",2,"OVOL1","maternal_oocyte_RNA"
"13549",2,"AP5B1","maternal_oocyte_RNA"
"13550",4,"SNX32","hESC_RNA"
"13551",4,"KAT5","hESC_RNA"
"13552",5,"RNASEH2C","four_cell_RNA"
"13553",4,"C11orf68","hESC_RNA"
"13554",4,"CFL1","hESC_RNA"
"13555",5,"CCDC85B","four_cell_RNA"
"13556",4,"FOSL1","hESC_RNA"
"13557",4,"DRAP1","hESC_RNA"
"13558",5,"CTSW","four_cell_RNA"
"13559",4,"FIBP","hESC_RNA"
"13560",1,"MUS81","ICM_RNA"
"13561",4,"EFEMP2","hESC_RNA"
"13562",2,"TSGA10IP","maternal_oocyte_RNA"
"13563",4,"SART1","hESC_RNA"
"13564",4,"CST6","hESC_RNA"
"13565",4,"GAL3ST3","hESC_RNA"
"13566",1,"CATSPER1","ICM_RNA"
"13567",3,"PACS1","maternal_1C_2C_RNA"
"13568",4,"SF3B2","hESC_RNA"
"13569",3,"KLC2","maternal_1C_2C_RNA"
"13570",5,"EIF1AD","four_cell_RNA"
"13571",6,"BANF1","eight_cell_RNA"
"13572",6,"RAB1B","eight_cell_RNA"
"13573",4,"CNIH2","hESC_RNA"
"13574",2,"TMEM151A","maternal_oocyte_RNA"
"13575",4,"CD248","hESC_RNA"
"13576",2,"BRMS1","maternal_oocyte_RNA"
"13577",6,"YIF1A","eight_cell_RNA"
"13578",4,"B4GAT1","hESC_RNA"
"13579",4,"RIN1","hESC_RNA"
"13580",5,"NPAS4","four_cell_RNA"
"13581",4,"LOC102724064","hESC_RNA"
"13582",4,"SLC29A2","hESC_RNA"
"13583",4,"MRPL11","hESC_RNA"
"13584",3,"CCDC87","maternal_1C_2C_RNA"
"13585",2,"CTSF","maternal_oocyte_RNA"
"13586",3,"ACTN3","maternal_1C_2C_RNA"
"13587",4,"BBS1","hESC_RNA"
"13588",6,"ZDHHC24","eight_cell_RNA"
"13589",3,"PELI3","maternal_1C_2C_RNA"
"13590",3,"DPP3","maternal_1C_2C_RNA"
"13591",2,"CCS","maternal_oocyte_RNA"
"13592",4,"SPTBN2","hESC_RNA"
"13593",5,"LOC107984341","four_cell_RNA"
"13594",5,"C11orf86","four_cell_RNA"
"13595",4,"RHOD","hESC_RNA"
"13596",4,"SYT12","hESC_RNA"
"13597",6,"C11orf80","eight_cell_RNA"
"13598",2,"RCE1","maternal_oocyte_RNA"
"13599",5,"ANKRD13D","four_cell_RNA"
"13600",2,"KDM2A","maternal_oocyte_RNA"
"13601",5,"RBM14","four_cell_RNA"
"13602",2,"RBM14-RBM4","maternal_oocyte_RNA"
"13603",5,"RBM4","four_cell_RNA"
"13604",6,"RBM4B","eight_cell_RNA"
"13605",5,"PC","four_cell_RNA"
"13606",4,"LRFN4","hESC_RNA"
"13607",4,"SSH3","hESC_RNA"
"13608",4,"TBC1D10C","hESC_RNA"
"13609",3,"GRK2","maternal_1C_2C_RNA"
"13610",1,"CARNS1","ICM_RNA"
"13611",5,"RPS6KB2","four_cell_RNA"
"13612",2,"RAD9A","maternal_oocyte_RNA"
"13613",4,"PPP1CA","hESC_RNA"
"13614",6,"PTPRCAP","eight_cell_RNA"
"13615",4,"CORO1B","hESC_RNA"
"13616",6,"LOC100130987","eight_cell_RNA"
"13617",4,"POLD4","hESC_RNA"
"13618",1,"CLCF1","ICM_RNA"
"13619",5,"GPR152","four_cell_RNA"
"13620",5,"TMEM134","four_cell_RNA"
"13621",3,"CABP4","maternal_1C_2C_RNA"
"13622",4,"PITPNM1","hESC_RNA"
"13623",5,"C11orf72","four_cell_RNA"
"13624",1,"CDK2AP2","ICM_RNA"
"13625",2,"CABP2","maternal_oocyte_RNA"
"13626",4,"GSTP1","hESC_RNA"
"13627",6,"AIP","eight_cell_RNA"
"13628",2,"NDUFV1","maternal_oocyte_RNA"
"13629",4,"NUDT8","hESC_RNA"
"13630",5,"TBX10","four_cell_RNA"
"13631",4,"ACY3","hESC_RNA"
"13632",3,"ALDH3B2","maternal_1C_2C_RNA"
"13633",4,"UNC93B1","hESC_RNA"
"13634",1,"ALDH3B1","ICM_RNA"
"13635",4,"FAM86C2P","hESC_RNA"
"13636",4,"CHKA","hESC_RNA"
"13637",4,"TCIRG1","hESC_RNA"
"13638",4,"C11orf24","hESC_RNA"
"13639",4,"NDUFS8","hESC_RNA"
"13640",4,"MIR7113","hESC_RNA"
"13641",3,"LRP5","maternal_1C_2C_RNA"
"13642",6,"KMT5B","eight_cell_RNA"
"13643",1,"TESMIN","ICM_RNA"
"13644",4,"GAL","hESC_RNA"
"13645",2,"CPT1A","maternal_oocyte_RNA"
"13646",2,"MRGPRD","maternal_oocyte_RNA"
